total_trades,trade_count_long,trade_count_short,profit_total,profit_total_abs,cagr,sharpe,sortino,calmar,sqn,profit_factor,expectancy,expectancy_ratio,winrate,wins,losses,draws,max_drawdown_account,max_drawdown_abs,market_change,starting_balance,final_balance,trades_per_day,strategy_id,source
17756,17756,0,-0.67814237869,-678.14237869,-0.26068394784,-2.42612059917,-1.83044460712,-1.07229267366,-1.3056,0.951091522213,-0.0381922943619,-0.0188320576164,0.617143500788,10958,6796,2,0.881928569758,2277.80272234,,1000,321.85762131,12.9605839416,BBRSIOptimizedStrategy,baseline
7631,7631,0,-0.48998830261,-489.98830261,-0.164218953343,-0.631100083914,-0.360445091603,-0.766321006533,-0.518,0.937383231022,-0.0642102349115,-0.0197983469293,0.69754946927,5323,2301,7,0.891663207306,3733.94442619,,1000,510.01169739,5.5700729927,BBRSIStrategy,baseline
223,223,0,0.17526226583,175.26226583,0.0439640580854,0.321078367037,0.386060872484,3.3715039555,1.5384,1.3166240364,0.785929443184,0.130625163001,0.587443946188,131,92,0,0.0724920887694,91.45217901,,1000,1175.26226583,0.162773722628,BBRSITV,baseline
222,222,0,0.40960014607,409.60014607,0.095778159139,0.723248745815,0.814899945881,10.4949859943,3.473,1.83165414875,1.84504570302,0.29220280902,0.648648648649,144,78,0,0.0544257101647,78.74816076,,1000,1409.60014607,0.16204379562,BBRSITV4,baseline
326,326,0,0.09693116834,96.93116834,0.0249548255407,0.426998641716,0.324895498292,5.39382183564,1.6933,1.38627055805,0.297334872209,0.138630844452,0.641104294479,209,117,0,0.0250606721756,25.24021599,,1000,1096.93116834,0.23795620438,BBRSITV5,baseline
1995,1995,0,-0.41577028286,-415.77028286,-0.133412479366,-1.00324766047,-0.576803070434,-0.931143048954,-1.6103,0.749723416111,-0.208406156822,-0.0706294319445,0.717794486216,1432,563,0,0.622677114826,928.90502427,,1000,584.22971714,1.45620437956,BBRSIoriginal,baseline
416,416,0,0.98117775748,981.17775748,0.199795809628,0.728329863591,0.126971847328,5.68926439161,2.5576,2.51618996213,2.35860037856,0.0218681244538,0.985576923077,410,6,0,0.240501308078,627.35571144,,1000,1981.17775748,0.303649635036,BBRSIv2,baseline
508,508,0,0.87065311748,870.65311748,0.18158605858,1.96030872029,2.2180565426,20.19604374,6.2307,2.80370092848,1.71388408953,0.972862311818,0.46062992126,234,274,0,0.0601180273784,79.17858256,,1000,1870.65311748,0.370802919708,BB_RPB_TSL_RNG,baseline
504,504,0,0.90602210572,906.02210572,0.187497282754,1.87589924247,1.97617231126,21.0219080458,5.986,2.76788428356,1.79766290817,0.926034624721,0.47619047619,240,264,0,0.0601024986016,81.7483824,,1000,1906.02210572,0.367883211679,BB_RPB_TSL_RNG_2,baseline
508,508,0,0.87065311748,870.65311748,0.18158605858,1.96030872029,2.2180565426,20.19604374,6.2307,2.80370092848,1.71388408953,0.972862311818,0.46062992126,234,274,0,0.0601180273784,79.17858256,,1000,1870.65311748,0.370802919708,BB_RPB_TSL_RNG_TBS,baseline
643,643,0,-0.13567945541,-135.67945541,-0.0381027187615,-0.528534443724,-0.803672665556,-0.730472283924,-1.4935,0.842475757578,-0.211010039518,-0.112692304066,0.284603421462,183,460,0,0.25902173885,259.02173885,,1000,864.32054459,0.469343065693,BB_RPB_TSL_RNG_TBS_GOLD,baseline
504,504,0,0.90602210572,906.02210572,0.187497282754,1.87589924247,1.97617231126,21.0219080458,5.986,2.76788428356,1.79766290817,0.926034624721,0.47619047619,240,264,0,0.0601024986016,81.7483824,,1000,1906.02210572,0.367883211679,BB_RPB_TSL_RNG_V2_20211008,baseline
779,779,0,0.8193304426,819.3304426,0.172860925013,1.46200639533,1.20238538553,4.60509853316,3.7538,1.70245035662,1.05177207009,0.322820574674,0.540436456996,421,358,0,0.248111005981,479.65010229,,1000,1819.3304426,0.568613138686,BB_RPB_TSL_RNG_VWAP,baseline
273,273,0,-0.06065998298,-60.65998298,-0.0165339653192,-0.274342459477,-0.325958410193,-0.862935776309,-1.1885,0.746839278934,-0.222197739853,-0.190102372961,0.249084249084,68,205,0,0.09802789445,98.02789445,,1000,939.34001702,0.199270072993,BB_RPB_TSL_c7c477d_20211030,baseline
188,188,0,0.10332633127,103.32633127,0.0265434553022,0.354213950373,0.416105488309,3.21902730684,1.8476,1.57612323489,0.549608145053,0.346286837995,0.398936170213,75,113,0,0.0447622814675,45.39164308,,1000,1103.32633127,0.137226277372,BB_RPB_TSL_jilv220_github_20211008,baseline
598,598,0,1.55133285673,1551.33285673,0.283430223986,3.31446875309,3.04083838355,73.4456791837,9.7112,4.05811344565,2.59420210156,1.05857773119,0.653846153846,391,207,0,0.0294553782842,68.3029896,,1000,2551.33285673,0.436496350365,BB_RTR,baseline
1574,1574,0,-0.43182885506,-431.82885506,-0.139823611558,-0.610783630036,-0.442560089797,-0.876616092554,-1.1036,0.887988488813,-0.274351242097,-0.0397701572758,0.65501905972,1031,541,2,0.686954677278,1062.06769758,,1000,568.17114494,1.14890510949,BB_Strategy04,baseline
902,902,0,-0.15671739945,-156.71739945,-0.0443969762237,-0.292665450659,-0.278939666163,-0.561182492169,-0.6984,0.928033709644,-0.173744345288,-0.0244940699992,0.659645232816,595,307,0,0.389438575596,430.60365992,,1000,843.28260055,0.658394160584,BBlower,baseline
62,62,0,4.65020059689,4650.20059689,0.586234460388,0.158057381747,0.3538576765,14.5907201044,1.4278,1.94189968363,75.0032354337,0.0911515822863,0.903225806452,56,6,0,0.444447866955,4520.2231326,,1000,5650.20059689,0.0452554744526,Babico_SMA5xBBmid,baseline
18781,18781,0,-0.86722257367,-867.22257367,-0.41604441362,-2.23375596625,-1.66046882116,-1.25603031796,-1.1688,0.956388758504,-0.0461755270577,-0.0166673370556,0.622490815186,11691,7086,4,0.96284486046,3030.2125641,,1000,132.77742633,13.7087591241,Bandtastic,baseline
10084,10084,0,-0.37282115831,-372.82115831,-0.116878747765,-0.420102331516,-0.362357128134,-0.562217021968,-0.3,0.990669316774,-0.0369715547709,-0.00249753380826,0.7428599762,7491,2592,1,0.92474592474,5557.7104221,,1000,627.17884169,7.36058394161,BbandRsiRolling,baseline
759,420,339,-0.27722912968,-277.22912968,-0.0828624449737,-0.341701774919,-0.206469541634,-0.792494769232,-0.8888,0.725372429481,-0.365255770329,-0.00398010971767,0.985507246377,748,11,0,0.487829795239,548.07874052,,1000,722.77087032,0.55401459854,Best5m,baseline
5360,5360,0,1.65511584163,1655.11584163,0.297136688096,0.941947865435,0.543739709109,3.17538087567,0.9225,1.07488827767,0.308790268961,0.0178221121319,0.751305970149,4027,1329,4,0.72687283028,5183.5214198,,1000,2655.11584163,3.91240875912,BigDrop,baseline
11845,11845,0,-0.89501791822,-895.01791822,-0.451467682584,-3.34361164848,-2.62458376389,-1.32208863628,-2.2029,0.935786398645,-0.0755608204491,-0.0131246204205,0.795609962009,9424,2421,0,0.944054404243,1455.64890238,,1000,104.98208178,8.64598540146,BigPete,baseline
91,91,0,0.42396875601,423.96875601,0.0987429666296,3.35258085738,-100,-100,25.063,,4.65899731879,100,1,91,0,0,0,0,,1000,1423.96875601,0.0664233576642,BigTrader,baseline
