strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
MACD9fall,84,-2310.76495757,84,-2193.03498195,-117.729975623
Obelisk_TradePro_Ichi_v2,1201,-2419.78584851,1201,-4848.46522702,2428.67937851
Simple,986,-2447.75950906,986,-2753.62260064,305.86309158
NormalizerStrategyHO2,1030,-2487.02770715,1030,2155.00327391,-4642.03098105
SimpleHopt1Along,666,-2492.87932578,666,-8675.2211821,6182.34185632
SwingHighToSky,1610,-2594.51609688,1610,-2196.53474302,-397.981353863
Roth03,1158,-2610.03471232,1158,-795.815423269,-1814.21928905
IchimokuStrategy,2377,-2617.78363886,2377,3584.74313554,-6202.5267744
Minmax,1236,-2630.87342007,1236,15020.8358049,-17651.7092249
MFI,1515,-2631.25739075,1515,929.771178993,-3561.02856974
Diamond,1252,-2695.1519349,1252,-2066.44032617,-628.71160873
Lateralus,824,-2697.95840766,824,-2568.28439075,-129.674016905
redditMA,891,-2719.59988222,891,-3542.4428281,822.842945878
TouchEmaDelayStrategy,820,-2724.65307179,820,-1629.48694245,-1095.16612934
Ichess,122,-2781.3425722,122,-1740.24395572,-1041.09861648
conny,1922,-2788.75656047,1922,2119.87447898,-4908.63103944
VolatilitySystem,238,-2802.52175154,238,3770.52104698,-6573.04279852
BBRSI,230,-2851.5161909,230,-2369.27745013,-482.23874077
Strategy002,555,-2905.31209701,555,-1731.41502085,-1173.89707617
BigZ04_TSL3,387,-2933.78299494,387,-191.594552105,-2742.18844284
Persia,1944,-2945.21987029,1944,-15.8116252055,-2929.40824508
BigZ04_TSL4,406,-2963.43366288,406,-228.155544517,-2735.27811836
multi_tf,1292,-2977.44703676,1292,1653.82354553,-4631.27058229
ToTheMoon,481,-3090.39161452,481,3534.18641149,-6624.57802601
AntigravityGridStrategy,1549,-3099.40650716,1549,104.118258104,-3203.52476527
BB10fall,869,-3142.25864964,869,-3853.04071348,710.782063848
BBRSIOptimStrategy,2233,-3143.19987304,2233,-1612.93057469,-1530.26929835
Momentumv2,717,-3221.36327374,717,-21.7158722333,-3199.64740151
JustROCR3,334,-3293.36018885,334,4.06410723206,-3297.42429609
HourBasedStrategy_5m,3413,-3311.25974901,3413,7539.57161617,-10850.8313652
MACDStrategy_crossed,1663,-3398.25441989,1663,-3398.30121366,0.0467937710132
BBRSIOptim2020Strategy,1875,-3498.17814421,1875,32.8471237112,-3531.02526792
BigZ03HO,2771,-3549.99999602,2771,-1956.59709355,-1593.40290246
MACDCross,1708,-3627.69055925,1708,-2414.96347111,-1212.72708813
NEWTEST15m,646,-3660.79053542,646,-6034.94680992,2374.1562745
dualwave,846,-3677.39588257,846,-2697.14745557,-980.248426998
FReinforcedStrategy,2259,-3750.06430834,2259,-342.348580484,-3407.71572786
Ichimoku,1270,-3773.66491531,1270,1224.18274907,-4997.84766438
WTHO,1502,-3815.65171206,1502,11038.7317872,-14854.3834993
MACDStrategyBTC,1802,-3870.00394925,1802,-4161.64695114,291.643001899
BBlower,569,-3874.77510793,569,-2752.02157659,-1122.75353135
GKD_HurstExponent,1975,-3947.93159915,1975,-11006.3253017,7058.39370254
eltoro,1059,-4008.11040885,1059,-2706.14007898,-1301.97032987
StochRSITEMA,1400,-4041.26644309,1400,-801.198570457,-3240.06787264
TemaStrategy,1933,-4105.46616329,1933,-200.743789603,-3904.72237369
AdxSmas,2162,-4119.56557444,2162,-3428.27751767,-691.288056771
RSI_EMA_strategy,1723,-4151.78897454,1723,490.194417454,-4641.98339199
CTIBS,1498,-4156.87503316,1498,-2567.0538191,-1589.82121406
ichi,1796,-4165.05132075,1796,4060.21439196,-8225.26571271
TRIWAVE,1020,-4196.19691797,1020,-2973.54416635,-1222.65275162
GoldenCrossStrategy,1871,-4213.18563053,1871,-156.701581585,-4056.48404894
bbrsi4Freq,1545,-4235.97938403,1545,-2686.41189604,-1549.567488
