strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd,source
NFI5MOHO_WIP_2,536,6801.79040416,536,3985.48308889,2816.30731528,baseline
BBRSI21,3157,6772.79180789,3157,7344.41479086,-571.62298297,baseline
NASOSv5_mod1,310,6730.9822401,310,1598.57004633,5132.41219376,baseline
NFI46OffsetHOA1,616,6674.08635189,616,5963.82529602,710.26105587,baseline
FlawlessVictory,6370,6664.01684153,6370,17875.6775474,-11211.6607059,baseline
eltoro1_4_simple,1386,6643.95925126,1386,4620.5078443,2023.45140696,baseline
Obelisk_Ichimoku_Slow_v1,1803,6641.32183551,1803,8717.47166158,-2076.14982608,baseline
Obelisk_Ichimoku_Slow_v1_1,1803,6641.32183551,1803,8717.47166158,-2076.14982608,baseline
MACDStrategyBTC,4360,6607.01592148,4360,3018.46024218,3588.5556793,baseline
CombinedBinHAndClucV5,1737,6574.93007732,1737,2737.52069956,3837.40937776,baseline
SMAOffsetV2,482,6485.70121555,482,6159.13022487,326.570990678,baseline
CombinedBinHAndClucV4,1723,6463.21224826,1723,2499.26256673,3963.94968153,baseline
INSIDEUP,422,6420.31387195,422,-8384.54256939,14804.8564413,baseline
SlowPotato,1707,6407.09111451,1707,9908.07514494,-3500.98403043,baseline
CoreStrategy,428,6346.01049753,428,3713.19684385,2632.81365367,baseline
BinClucMadSMACore,428,6346.01049753,428,3713.19684385,2632.81365367,baseline
NostalgiaForInfinityV7_SMAv2_1,325,6338.52969965,325,4393.63310061,1944.89659904,baseline
NFI7MOHO,1126,6249.3592407,1126,5735.6148978,513.744342901,baseline
NFI46Offset,558,6218.44502638,558,5535.15371147,683.291314908,baseline
CombinedBinHClucAndMADV9,1373,6208.93115943,1373,2368.94275122,3839.98840821,baseline
ElliotV8_original_ichiv2,737,6104.4123842,737,2229.11866796,3875.29371624,baseline
BB10fall,1600,6052.99642807,1600,2842.82823218,3210.16819589,baseline
MacheteV8bRallimod,2576,6045.51276901,2576,7238.38573605,-1192.87296705,baseline
BigZ03,510,6020.90991084,510,2655.94838001,3364.96153083,baseline
Momentumv2,1355,6018.70665754,1355,12956.4715325,-6937.76487491,baseline
NEWTEST15m,1526,5949.72284646,1526,-1143.5666633,7093.28950976,baseline
StrategyScalpingFast,1610,5873.8323684,1610,2853.37275216,3020.45961624,baseline
NFI5MOHO2,825,5837.22375637,825,5790.43986319,46.7838931856,baseline
Obelisk_Ichimoku_Slow_v1_2,1965,5833.38602068,1965,8210.90050354,-2377.51448287,baseline
Obelisk_TradePro_Ichi_v2_1,3649,5753.75729075,3649,-23572.0792733,29325.8365641,baseline
ElliotV5_SMA,444,5711.97785526,444,3194.13895402,2517.83890124,baseline
SMAOffset_Hippocritical_dca_leverage,282,5671.64397767,282,-144.306831499,5815.95080917,baseline
E0V1E_ewo,205,5625.28011293,205,5965.38901298,-340.108900049,baseline
NostalgiaForInfinityV5MultiOffsetAndHO,1032,5609.01038024,1032,6080.27807836,-471.26769812,baseline
CryptoFrog_nateema,4240,5456.91590167,4240,8549.41295656,-3092.49705489,baseline
BBRSIv2,416,5445.3715991,416,4420.95763389,1024.41396521,baseline
CombinedBinHClucAndMADV6,884,5421.2907649,884,2018.87530467,3402.41546023,baseline
RsiBollingerStrategy,1456,5375.26367632,1456,9465.6558647,-4090.39218838,baseline
NASOSv5_mod1_DanMod,244,5360.68794793,244,820.300133599,4540.38781433,baseline
Roth01,7148,5322.86097998,7148,8264.80191249,-2941.94093251,baseline
BB_RPB_TSL_RNG_V2_20211008,504,5299.48223362,504,1982.57240897,3316.90982464,baseline
BB_RPB_TSL_RNG_2,504,5299.48223362,504,1982.57240897,3316.90982464,baseline
NotAnotherSMAOffsetStrategy,502,5271.71085099,502,3103.44523587,2168.26561511,baseline
CBPete9,1391,5254.47066205,1391,1456.29037804,3798.18028401,baseline
NFINextMOHO2,1056,5251.35236395,1056,5544.49075917,-293.138395215,baseline
NostalgiaForInfinityV6HO,407,5245.42598179,407,5606.92900013,-361.503018334,baseline
NostalgiaForInfinityV6,407,5245.42598179,407,5606.92900013,-361.503018334,baseline
bbandrsi,3507,5173.3807027,3507,12420.7581562,-7247.37745353,baseline
BB_RPB_TSL_RNG_TBS,508,5144.32557466,508,1999.49229741,3144.83327725,baseline
TrailingBuyStrat2,508,5144.32557466,508,1999.49229741,3144.83327725,baseline
BB_RPB_TSL_RNG,508,5144.32557466,508,1999.49229741,3144.83327725,baseline
BB_RPB_TSL_RNG_VWAP,779,5119.37973011,779,1516.10442551,3603.27530459,baseline
NFI47V2,316,5111.65683826,316,5342.50125267,-230.844414412,baseline
ClucHAnix_5m,1707,5057.10973607,1707,-233.495589953,5290.60532602,baseline
ClucHAnix_5m_old,1707,5057.10973607,1707,-233.495589953,5290.60532602,baseline
NASOSv5_mod2,208,5038.31808096,208,867.864704017,4170.45337695,baseline
MultiMA_TSL3b,88,5024.37267411,88,4443.50764622,580.865027888,baseline
chatgpt,3472,5006.60749115,3472,10382.6487038,-5376.04121266,baseline
ElliotV2,242,4959.57769041,242,2236.34351493,2723.23417547,baseline
BBKCBounce,615,4958.65579856,615,3468.56717843,1490.08862014,baseline
ElliotV8_original,339,4928.92229804,339,1881.50773047,3047.41456758,baseline
Cluc5werk,1809,4902.16586698,1809,2786.1987857,2115.96708129,baseline
NostalgiaForInfinityV7,394,4873.16876479,394,4894.88985024,-21.7210854516,baseline
CombinedBinHAndCluc,2092,4761.82889926,2092,10608.3803324,-5846.55143317,baseline
CombinedBinHClucAndMADV5,899,4739.43290903,899,1517.1236478,3222.30926123,baseline
NostalgiaForInfinityV4,238,4662.5139951,238,4501.04081247,161.473182637,baseline
TenderEnter,2437,4633.55657472,2437,3200.12842637,1433.42814835,baseline
ElliotV5HOMod3,315,4593.26242821,315,5504.47119707,-911.208768854,baseline
Nostalgia,466,4574.18486731,466,4590.7207375,-16.5358701855,baseline
SMAOffsetProtectOptV1HO1,724,4555.10875606,724,4008.74961468,546.359141381,baseline
SqueezeOff,6678,4536.15575033,6678,5571.12070331,-1034.96495298,baseline
NostalgiaForInfinityV5,358,4534.55062735,358,4909.03525756,-374.484630211,baseline
cryptotank,1206,4510.2095676,1206,-13697.9264753,18208.1360429,baseline
BigZ07Next2,850,4493.96875357,850,1627.47836201,2866.49039156,baseline
WaveTrendStra,4930,4493.34112904,4930,10466.9558499,-5973.61472087,baseline
Schism2,4250,4438.4897293,4250,-46.9090872017,4485.3988165,baseline
OversoldReversion,100,4413.23521145,100,3955.18957247,458.045638978,baseline
NostalgiaForInfinityX,196,4401.87170277,196,5121.44310198,-719.571399201,baseline
NotAnotherSMAOffsetStrategyHOv3,427,4366.46292651,427,1457.71678953,2908.74613698,baseline
ADX_15M_USDT2,4102,4358.54743742,4102,-717.378594576,5075.926032,baseline
NostalgiaForInfinityV5MultiOffsetAndHO2,792,4306.16450953,792,4732.89853088,-426.73402135,baseline
NASOSv5HO,294,4290.51063749,294,275.148651471,4015.36198602,baseline
TheRealPullbackV2,517,4277.98780131,517,7779.24284463,-3501.25504332,baseline
BinHV45_werkkrew,632,4267.53136425,632,4659.26544644,-391.734082193,baseline
NostalgiaForInfinityV3,572,4256.58643516,572,4942.45712064,-685.870685476,baseline
