strategy_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
EMA_CROSSOVER_STRATEGY,BEAR,3611,3611,0,-167.81850054,-0.002105311698,1388,600.82760418,768.64610472,89.6372196068,155,0.781670004558,0.384381057879
EMA_CROSSOVER_STRATEGY,BULL,5604,5604,0,-365.88576731,-0.00177328419172,1946,656.14788064,1022.03364795,98.7348322627,235,0.642002229531,0.347251962884
EMA_CROSSOVER_STRATEGY,SIDEWAYS,2568,2568,0,-196.73732471,-0.00171956401514,793,401.38698433,598.12430904,120.412772586,107,0.671076193132,0.308800623053
EMA_CROSSOVER_STRATEGY,TRANSITION,2338,2338,0,-235.28059051,-0.00207867805412,742,380.61319663,615.89378714,105.297262618,102,0.617985121099,0.317365269461
ElliotV2,BEAR,151,151,0,266.90014143,0.0126146896469,130,959.69881125,692.79866982,233.21192053,30,1.38524921172,0.860927152318
ElliotV2,BULL,147,147,0,558.35203774,0.0209176727909,138,822.47489221,264.12285447,299.353741497,60,3.11398607993,0.938775510204
ElliotV2,SIDEWAYS,35,35,0,203.48383459,0.0276658544987,33,216.97833001,13.49449542,281.714285714,18,16.0790250585,0.942857142857
ElliotV2,TRANSITION,46,46,0,50.80963178,0.00530404471952,40,235.432848,184.62321622,1356.63043478,25,1.27520716419,0.869565217391
ElliotV5_SMA,BEAR,192,192,0,541.73451334,0.0142938547065,159,960.74196227,419.00744893,294.427083333,56,2.2928994812,0.828125
ElliotV5_SMA,BULL,306,306,0,770.49735091,0.0121201432866,245,1290.95707344,520.45972253,327.352941176,98,2.48041686524,0.800653594771
ElliotV5_SMA,SIDEWAYS,58,58,0,229.15745315,0.017656658821,49,297.83812085,68.6806677,225.775862069,30,4.33656414278,0.844827586207
ElliotV5_SMA,TRANSITION,101,101,0,102.94747588,0.00472003625168,80,459.66197365,356.71449777,347.97029703,48,1.28859908,0.792079207921
FAdxSmaStrategy,BEAR,194,107,87,-29.80025768,-0.00202824047909,60,221.36909267,251.16935035,845.567010309,103,0.881353924599,0.309278350515
FAdxSmaStrategy,BULL,253,100,153,-107.54427845,-0.00414650117855,84,275.47672091,383.02099936,806.561264822,153,0.719220934023,0.332015810277
FAdxSmaStrategy,SIDEWAYS,216,106,110,-89.92547215,-0.00378829127235,66,142.86622205,232.7916942,910.555555556,129,0.613708416621,0.305555555556
FAdxSmaStrategy,TRANSITION,210,100,110,-83.15579038,-0.00373145552351,65,173.21486603,256.37065641,956.857142857,118,0.675642323718,0.309523809524
FSupertrendStrategy,BEAR,1540,1540,0,-485.81478138,-0.00315986367026,899,2194.79538258,2680.61016396,988.714285714,374,0.818767089705,0.583766233766
FSupertrendStrategy,BULL,2554,2554,0,-234.32424859,-0.000764661297033,1580,4397.54237029,4631.86661888,923.281127643,490,0.949410406674,0.61863743148
FSupertrendStrategy,SIDEWAYS,1700,1700,0,294.74386177,0.00179185965058,982,2285.37049547,1990.6266337,1136.50588235,379,1.1480658687,0.577647058824
FSupertrendStrategy,TRANSITION,1288,1288,0,-185.52262368,-0.00158241251247,731,1984.48444276,2170.00706644,962.98136646,334,0.914505981778,0.567546583851
FastSupertrend_ts_origstop_fix,BEAR,801,482,319,-77.53892373,-0.00489605661903,269,2886.55259851,2964.09152224,8235.50561798,364,0.973840577071,0.335830212235
FastSupertrend_ts_origstop_fix,BULL,889,389,500,-1143.3268047,-0.00918631164219,255,2594.9441296,3738.2709343,7927.08661417,378,0.694156249027,0.286839145107
FastSupertrend_ts_origstop_fix,SIDEWAYS,680,370,310,704.01600023,0.0132300991804,256,2255.02021737,1551.00421714,9689.47058824,296,1.45390979112,0.376470588235
FastSupertrend_ts_origstop_fix,TRANSITION,608,261,347,-104.1824356,0.0058967571981,204,1829.3634336,1933.5458692,8461.97368421,280,0.946118456635,0.335526315789
FlawlessVictory,BEAR,2614,2614,0,-2839.40670964,-0.0028263598422,1653,7417.0355635,10256.4422731,2039.66143841,555,0.723158710006,0.632364192808
FlawlessVictory,BULL,3061,3061,0,2013.00010199,0.00326945899173,2024,10001.1720414,7988.17193945,1975.90819993,618,1.2519975931,0.661221822934
FlawlessVictory,SIDEWAYS,2468,2468,0,1477.04548264,0.00253542622,1680,5354.87903381,3877.83355117,1880.13573744,500,1.38089450286,0.680713128039
FlawlessVictory,TRANSITION,2086,2086,0,-1345.87718209,-0.00543190257493,1268,5432.54257135,6778.41975344,2189.05800575,459,0.801446763251,0.607861936721
ForexSignal,BEAR,1870,1870,0,-305.3248569,-0.00238453817907,477,465.56669632,770.89155322,56.5080213904,44,0.603932802708,0.255080213904
ForexSignal,BULL,5363,5363,0,-260.61263558,-0.00223360094853,1262,227.26032841,487.87296399,55.9509602834,125,0.465818656052,0.235316054447
ForexSignal,SIDEWAYS,3016,3016,0,-201.96140165,-0.00194482267665,641,235.07329653,437.03469818,62.1518567639,74,0.53788245535,0.212533156499
ForexSignal,TRANSITION,2201,2201,0,-198.11925228,-0.00209105276392,486,271.3401743,469.45942658,58.4643343935,53,0.577984292012,0.220808723308
Gumbo1,BEAR,3401,3401,0,-399.9046087,-0.00272147640261,2116,433.12971572,833.03432442,129.511908262,152,0.519942219694,0.622169950015
Gumbo1,BULL,5754,5754,0,-249.29672857,-0.00139058627681,3515,428.61500596,677.91173453,120.847236705,260,0.632257835538,0.610879388252
Gumbo1,SIDEWAYS,2189,2189,0,-70.34561679,-0.000623570001061,1239,175.05708918,245.40270597,115.39058931,106,0.713346205732,0.56601187757
Gumbo1,TRANSITION,2499,2499,0,-248.45502133,-0.00261771810461,1457,269.47696619,517.93198752,129.879951981,109,0.520294117149,0.583033213285
Ichimoku_v31,BEAR,290,290,0,-2669.6020716,-0.00831712376984,50,2038.0386588,4707.6407304,4603.86206897,199,0.432921451639,0.172413793103
Ichimoku_v31,BULL,480,480,0,742.62823188,0.00877171733944,105,5086.53517386,4343.90694198,5704.5,292,1.17095859598,0.21875
Ichimoku_v31,SIDEWAYS,410,410,0,2674.34475232,0.0202338212353,118,6655.85646458,3981.51171226,7642.09756098,245,1.67169079124,0.287804878049
Ichimoku_v31,TRANSITION,273,273,0,4667.63873908,0.0469181523073,60,7428.94613633,2761.30739725,5707.25274725,174,2.69037273566,0.21978021978
Ichimoku_v37,BEAR,73,73,0,-484.18834981,0.00382260570564,17,834.83459701,1319.02294682,10997.260274,61,0.632918933687,0.232876712329
Ichimoku_v37,BULL,213,213,0,3066.25549874,0.0826327684336,26,6050.6970992,2984.44160046,17313.8028169,156,2.02741346933,0.1220657277
Ichimoku_v37,SIDEWAYS,136,136,0,2190.20420828,0.059057494605,31,4184.744069,1994.53986072,20117.6470588,100,2.09809999359,0.227941176471
Ichimoku_v37,TRANSITION,91,91,0,1865.70070628,0.0520500667134,16,3190.2449065,1324.54420022,16190.7692308,76,2.40856054933,0.175824175824
KAMACCIRSI,BEAR,2139,2139,0,-651.25607743,-0.00315715040807,1442,1155.06480653,1806.32088396,2637.2627396,400,0.639457151156,0.674146797569
