# path	strategy_id	base_strategy_id
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_highlow.py	Anomaly_highlow	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_jump.py	Anomaly_jump	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_macd.py	Anomaly_macd	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_mfi.py	Anomaly_mfi	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_minmax.py	Anomaly_minmax	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_nseq.py	Anomaly_nseq	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_over.py	Anomaly_over	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_profit.py	Anomaly_profit	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_pv.py	Anomaly_pv	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_slope.py	Anomaly_slope	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_smooth.py	Anomaly_smooth	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_stochastic.py	Anomaly_stochastic	Anomaly
webclinic017_strategies-freqtrade-/Anomaly/Anomaly_swing.py	Anomaly_swing	Anomaly
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_AdditiveAttention.py	NNPredict_AdditiveAttention	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_Attention.py	NNPredict_Attention	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_CNN.py	NNPredict_CNN	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_GRU.py	NNPredict_GRU	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_LSTM.py	NNPredict_LSTM	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_LSTM0.py	NNPredict_LSTM0	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_LSTM2.py	NNPredict_LSTM2	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_LSTM3.py	NNPredict_LSTM3	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_MLP.py	NNPredict_MLP	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_Multihead.py	NNPredict_Multihead	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_TCN.py	NNPredict_TCN	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_Wavenet.py	NNPredict_Wavenet	NNPredict
webclinic017_strategies-freqtrade-/NNPredict/NNPredict_Wavenet2.py	NNPredict_Wavenet2	NNPredict
webclinic017_strategies-freqtrade-/NNTC/NNTC_adx2_LSTM.py	NNTC_adx2_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_adx3_LSTM.py	NNTC_adx3_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_adx_LSTM.py	NNTC_adx_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_all_LSTM.py	NNTC_all_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_aroon_LSTM.py	NNTC_aroon_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_bbw_LSTM.py	NNTC_bbw_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_bbw_Transformer.py	NNTC_bbw_Transformer	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_dwt2_LSTM.py	NNTC_dwt2_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_dwt_LSTM.py	NNTC_dwt_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_AdditiveAttention.py	NNTC_fbb_AdditiveAttention	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_Attention.py	NNTC_fbb_Attention	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_Ensemble.py	NNTC_fbb_Ensemble	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_GRU.py	NNTC_fbb_GRU	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_LSTM.py	NNTC_fbb_LSTM	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_Multihead.py	NNTC_fbb_Multihead	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_Transformer.py	NNTC_fbb_Transformer	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fbb_Wavenet.py	NNTC_fbb_Wavenet	NNTC
webclinic017_strategies-freqtrade-/NNTC/NNTC_fwr_LSTM.py	NNTC_fwr_LSTM	NNTC
